decoder_candidate,onset_threshold,offset_threshold,min_onset_separation_seconds,min_note_duration_seconds,crepe_confidence_threshold,matches,ref_notes,est_notes,COnPOff_F_micro
197,0.44,0.45,0.162,0.11,0.3,1106,1702,1601,0.669694217378141
111,0.4,0.45,0.162,0.1,0.2,1133,1702,1684,0.6692262256349675
188,0.44,0.405,0.198,0.11,0.3,1092,1702,1562,0.6691176470588235
102,0.4,0.405,0.198,0.1,0.2,1117,1702,1637,0.6690625935908956
100,0.4,0.405,0.198,0.09,0.25,1118,1702,1640,0.6690604428485938
47,0.36,0.45,0.198,0.09,0.3,1127,1702,1667,0.6690412585336896
121,0.4,0.45,0.18,0.1,0.25,1119,1702,1644,0.6688583383144053
62,0.36,0.495,0.162,0.11,0.3,1134,1702,1689,0.668829253907402
59,0.36,0.495,0.162,0.1,0.3,1139,1702,1704,0.6688197298884322
56,0.36,0.495,0.162,0.09,0.3,1144,1702,1721,0.668419515045282
71,0.36,0.495,0.18,0.11,0.3,1122,1702,1657,0.6680559690384041
68,0.36,0.495,0.18,0.1,0.3,1127,1702,1672,0.6680497925311203
114,0.4,0.45,0.162,0.11,0.2,1128,1702,1675,0.6680485638140361
108,0.4,0.45,0.162,0.09,0.2,1137,1702,1702,0.6680376028202115
105,0.4,0.405,0.198,0.11,0.2,1112,1702,1628,0.6678678678678678
65,0.36,0.495,0.18,0.09,0.3,1131,1702,1689,0.6670598643468003
124,0.4,0.45,0.18,0.11,0.25,1112,1702,1633,0.6668665667166417
118,0.4,0.45,0.18,0.09,0.25,1121,1702,1660,0.6668649613325403
203,0.44,0.45,0.18,0.1,0.3,1099,1702,1595,0.6666666666666666
206,0.44,0.45,0.18,0.11,0.3,1093,1702,1580,0.6660572821450335
49,0.36,0.45,0.198,0.1,0.25,1119,1702,1659,0.6658732520083308
182,0.44,0.405,0.198,0.09,0.3,1097,1702,1593,0.6658573596358118
193,0.44,0.45,0.162,0.1,0.25,1107,1702,1624,0.6656644618159951
184,0.44,0.405,0.198,0.1,0.25,1094,1702,1585,0.6656525707331914
200,0.44,0.45,0.18,0.09,0.3,1102,1702,1612,0.6650573325286663
190,0.44,0.45,0.162,0.09,0.25,1111,1702,1640,0.6648713345302214
99,0.4,0.405,0.198,0.09,0.2,1115,1702,1654,0.6644815256257449
52,0.36,0.45,0.198,0.11,0.25,1112,1702,1648,0.6638805970149254
140,0.4,0.495,0.162,0.1,0.3,1117,1702,1664,0.6636957813428401
143,0.4,0.495,0.162,0.11,0.3,1112,1702,1649,0.663682482840943
196,0.44,0.45,0.162,0.11,0.25,1100,1702,1613,0.6636500754147813
187,0.44,0.405,0.198,0.11,0.25,1087,1702,1574,0.6636141636141636
46,0.36,0.45,0.198,0.09,0.25,1120,1702,1674,0.6635071090047392
137,0.4,0.495,0.162,0.09,0.3,1122,1702,1681,0.6633165829145728
58,0.36,0.495,0.162,0.1,0.25,1132,1702,1712,0.6631517281780902
120,0.4,0.45,0.18,0.1,0.2,1113,1702,1656,0.6628945801072066
55,0.36,0.495,0.162,0.09,0.25,1136,1702,1728,0.6623906705539359
67,0.36,0.495,0.18,0.1,0.25,1120,1702,1680,0.6623299822590183
202,0.44,0.45,0.18,0.1,0.25,1094,1702,1603,0.6620272314674736
61,0.36,0.495,0.162,0.11,0.25,1126,1702,1701,0.6617690273288275
123,0.4,0.45,0.18,0.11,0.2,1108,1702,1647,0.6616900567333532
181,0.44,0.405,0.198,0.09,0.25,1092,1702,1600,0.6614173228346456
131,0.4,0.45,0.198,0.1,0.3,1097,1702,1617,0.6610424826755047
183,0.44,0.405,0.198,0.1,0.2,1090,1702,1596,0.661006670709521
64,0.36,0.495,0.18,0.09,0.25,1123,1702,1696,0.660977045320777
70,0.36,0.495,0.18,0.11,0.25,1114,1702,1669,0.6609314743399586
117,0.4,0.45,0.18,0.09,0.2,1115,1702,1674,0.6605450236966824
134,0.4,0.45,0.198,0.11,0.3,1091,1702,1602,0.660411622276029
199,0.44,0.45,0.18,0.09,0.25,1096,1702,1619,0.6600421559771154
205,0.44,0.45,0.18,0.11,0.25,1087,1702,1592,0.6599878567091682
192,0.44,0.45,0.162,0.1,0.2,1101,1702,1635,0.6598741384477075
186,0.44,0.405,0.198,0.11,0.2,1085,1702,1587,0.6597750076010945
48,0.36,0.45,0.198,0.1,0.2,1112,1702,1671,0.6593536910761932
149,0.4,0.495,0.18,0.1,0.3,1100,1702,1636,0.659077291791492
152,0.4,0.495,0.18,0.11,0.3,1095,1702,1621,0.659043033403551
189,0.44,0.45,0.162,0.09,0.2,1105,1702,1653,0.6587183308494783
195,0.44,0.45,0.162,0.11,0.2,1096,1702,1626,0.6586538461538461
139,0.4,0.495,0.162,0.1,0.25,1111,1702,1672,0.6585655008891523
77,0.36,0.495,0.198,0.1,0.3,1104,1702,1651,0.6585147628988965
80,0.36,0.495,0.198,0.11,0.3,1099,1702,1636,0.658478130617136
128,0.4,0.45,0.198,0.09,0.3,1098,1702,1633,0.6584707646176912
51,0.36,0.45,0.198,0.11,0.2,1107,1702,1662,0.6581450653983353
146,0.4,0.495,0.18,0.09,0.3,1104,1702,1653,0.6581222056631894
136,0.4,0.495,0.162,0.09,0.25,1115,1702,1688,0.6578171091445427
142,0.4,0.495,0.162,0.11,0.25,1105,1702,1661,0.6571513529586678
57,0.36,0.495,0.162,0.1,0.2,1125,1702,1724,0.6567425569176882
45,0.36,0.45,0.198,0.09,0.2,1113,1702,1688,0.656637168141593
74,0.36,0.495,0.198,0.09,0.3,1106,1702,1667,0.6565746512318196
130,0.4,0.45,0.198,0.1,0.25,1092,1702,1625,0.6564472497745717
180,0.44,0.405,0.198,0.09,0.2,1088,1702,1613,0.6564102564102564
60,0.36,0.495,0.162,0.11,0.2,1121,1702,1715,0.6561311091600821
54,0.36,0.495,0.162,0.09,0.2,1129,1702,1742,0.6556329849012775
201,0.44,0.45,0.18,0.1,0.2,1087,1702,1614,0.6556091676718938
66,0.36,0.495,0.18,0.1,0.2,1112,1702,1692,0.6552740129640542
221,0.44,0.495,0.162,0.1,0.3,1087,1702,1616,0.6552139843279083
