decoder_candidate,onset_threshold,offset_threshold,min_onset_separation_seconds,min_note_duration_seconds,crepe_confidence_threshold,matches,ref_notes,est_notes,COnPOff_F_micro
124,0.4,0.45,0.18,0.11,0.25,1427,2152,2055,0.6783931542666983
196,0.44,0.45,0.162,0.11,0.25,1422,2152,2041,0.6782733126639637
105,0.4,0.405,0.198,0.11,0.2,1422,2152,2043,0.6779499404052444
102,0.4,0.405,0.198,0.1,0.2,1426,2152,2055,0.6779177561207511
134,0.4,0.45,0.198,0.11,0.3,1413,2152,2017,0.6778603981770209
128,0.4,0.45,0.198,0.09,0.3,1424,2152,2052,0.6774500475737393
185,0.44,0.405,0.198,0.1,0.3,1403,2152,1991,0.6772869901037895
188,0.44,0.405,0.198,0.11,0.3,1396,2152,1975,0.6765204749212502
99,0.4,0.405,0.198,0.09,0.2,1429,2152,2073,0.6764497041420118
182,0.44,0.405,0.198,0.09,0.3,1407,2152,2010,0.67611725132148
177,0.44,0.405,0.18,0.11,0.2,1410,2152,2022,0.6756109247724007
174,0.44,0.405,0.18,0.1,0.2,1414,2152,2034,0.6755852842809366
51,0.36,0.45,0.198,0.11,0.2,1430,2152,2082,0.6754841757203589
48,0.36,0.45,0.198,0.1,0.2,1434,2152,2094,0.6754592557701367
195,0.44,0.45,0.162,0.11,0.2,1420,2152,2055,0.6750653672450677
192,0.44,0.45,0.162,0.1,0.2,1424,2152,2067,0.6750414790234652
123,0.4,0.45,0.18,0.11,0.2,1424,2152,2069,0.6747216299455105
120,0.4,0.45,0.18,0.1,0.2,1428,2152,2081,0.6746987951807228
171,0.44,0.405,0.18,0.09,0.2,1418,2152,2052,0.6745956232159849
189,0.44,0.45,0.162,0.09,0.2,1429,2152,2085,0.6745338683030446
202,0.44,0.45,0.18,0.1,0.25,1406,2152,2020,0.6740172579098753
45,0.36,0.45,0.198,0.09,0.2,1437,2152,2112,0.674015009380863
117,0.4,0.45,0.18,0.09,0.2,1432,2152,2099,0.6737238296871325
199,0.44,0.45,0.18,0.09,0.25,1410,2152,2037,0.6731916925280496
205,0.44,0.45,0.18,0.11,0.25,1400,2152,2008,0.673076923076923
184,0.44,0.405,0.198,0.1,0.25,1396,2152,1999,0.6726090098771381
59,0.36,0.495,0.162,0.1,0.3,1442,2152,2136,0.6725746268656716
130,0.4,0.45,0.198,0.1,0.25,1409,2152,2041,0.6720725017886955
212,0.44,0.45,0.198,0.1,0.3,1392,2152,1991,0.671976828385228
56,0.36,0.495,0.162,0.09,0.3,1447,2152,2155,0.6719294172277688
187,0.44,0.405,0.198,0.11,0.25,1390,2152,1987,0.6716598212128534
62,0.36,0.495,0.162,0.11,0.3,1434,2152,2120,0.6713483146067416
181,0.44,0.405,0.198,0.09,0.25,1399,2152,2016,0.6713051823416506
68,0.36,0.495,0.18,0.1,0.3,1426,2152,2097,0.6712167568839728
215,0.44,0.45,0.198,0.11,0.3,1385,2152,1975,0.6711897261933607
133,0.4,0.45,0.198,0.11,0.25,1403,2152,2029,0.6711313082994498
209,0.44,0.45,0.198,0.09,0.3,1396,2152,2010,0.6708313310908217
127,0.4,0.45,0.198,0.09,0.25,1412,2152,2058,0.6707838479809975
65,0.36,0.495,0.18,0.09,0.3,1431,2152,2116,0.6705716963448922
71,0.36,0.495,0.18,0.11,0.3,1418,2152,2081,0.6699740137018662
204,0.44,0.45,0.18,0.11,0.2,1397,2152,2022,0.669381887877336
201,0.44,0.45,0.18,0.1,0.2,1401,2152,2034,0.6693741041567128
