configuration,stem,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_P,COnP_R,COnP_F,COn_P,COn_R,COn_F,Split,Merged,Spurious
+ temporal lags (full),q1,28,27,0.5185185185185185,0.5,0.509090909090909,0.6666666666666666,0.6428571428571429,0.6545454545454545,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.14285714285714285,0.25,0.07142857142857142
+ temporal lags (full),q102,62,59,0.7966101694915254,0.7580645161290323,0.7768595041322315,0.8813559322033898,0.8387096774193549,0.859504132231405,0.9491525423728814,0.9032258064516129,0.9256198347107438,0.25806451612903225,0.3225806451612903,0.0
+ temporal lags (full),q14,27,26,0.8076923076923077,0.7777777777777778,0.7924528301886792,1.0,0.9629629629629629,0.9811320754716981,1.0,0.9629629629629629,0.9811320754716981,0.2222222222222222,0.2962962962962963,0.0
+ temporal lags (full),q16,29,25,0.88,0.7586206896551724,0.8148148148148148,0.96,0.8275862068965517,0.888888888888889,1.0,0.8620689655172413,0.9259259259259259,0.2413793103448276,0.3103448275862069,0.0
+ temporal lags (full),q18,36,38,0.7105263157894737,0.75,0.7297297297297298,0.7631578947368421,0.8055555555555556,0.7837837837837838,0.8157894736842105,0.8611111111111112,0.8378378378378377,0.3888888888888889,0.3611111111111111,0.0
+ temporal lags (full),q2,35,26,0.5769230769230769,0.42857142857142855,0.4918032786885245,0.8076923076923077,0.6,0.6885245901639345,0.8846153846153846,0.6571428571428571,0.7540983606557377,0.02857142857142857,0.22857142857142856,0.02857142857142857
+ temporal lags (full),q21,78,85,0.5176470588235295,0.5641025641025641,0.5398773006134969,0.7176470588235294,0.782051282051282,0.7484662576687117,0.8235294117647058,0.8974358974358975,0.8588957055214724,0.3974358974358974,0.3333333333333333,0.01282051282051282
+ temporal lags (full),q22,85,87,0.5402298850574713,0.5529411764705883,0.5465116279069768,0.735632183908046,0.7529411764705882,0.7441860465116279,0.8390804597701149,0.8588235294117647,0.8488372093023254,0.32941176470588235,0.3058823529411765,0.011764705882352941
+ temporal lags (full),q24,49,47,0.44680851063829785,0.42857142857142855,0.4375,0.8297872340425532,0.7959183673469388,0.8125,0.8723404255319149,0.8367346938775511,0.8541666666666667,0.1836734693877551,0.24489795918367346,0.04081632653061224
+ temporal lags (full),q34,35,37,0.5945945945945946,0.6285714285714286,0.611111111111111,0.7027027027027027,0.7428571428571429,0.7222222222222223,0.8108108108108109,0.8571428571428571,0.8333333333333334,0.22857142857142856,0.14285714285714285,0.0
+ temporal lags (full),q56,52,53,0.8113207547169812,0.8269230769230769,0.819047619047619,0.8867924528301887,0.9038461538461539,0.8952380952380953,0.9245283018867925,0.9423076923076923,0.9333333333333333,0.2692307692307692,0.28846153846153844,0.019230769230769232
+ temporal lags (full),q58,37,53,0.4716981132075472,0.6756756756756757,0.5555555555555556,0.6226415094339622,0.8918918918918919,0.7333333333333333,0.6415094339622641,0.918918918918919,0.7555555555555555,0.21621621621621623,0.13513513513513514,0.35135135135135137
+ temporal lags (full),q59,29,28,0.7142857142857143,0.6896551724137931,0.7017543859649122,1.0,0.9655172413793104,0.9824561403508771,1.0,0.9655172413793104,0.9824561403508771,0.034482758620689655,0.06896551724137931,0.0
+ temporal lags (full),q61,29,29,0.6896551724137931,0.6896551724137931,0.6896551724137931,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.20689655172413793,0.2413793103448276,0.06896551724137931
+ temporal lags (full),q62,32,38,0.6842105263157895,0.8125,0.742857142857143,0.7894736842105263,0.9375,0.8571428571428572,0.7894736842105263,0.9375,0.8571428571428572,0.25,0.125,0.03125
+ temporal lags (full),q63,34,35,0.5714285714285714,0.5882352941176471,0.5797101449275363,0.8857142857142857,0.9117647058823529,0.8985507246376812,0.9142857142857143,0.9411764705882353,0.9275362318840579,0.058823529411764705,0.08823529411764706,0.058823529411764705
+ temporal lags (full),q73,39,46,0.6304347826086957,0.7435897435897436,0.6823529411764706,0.782608695652174,0.9230769230769231,0.8470588235294118,0.8260869565217391,0.9743589743589743,0.8941176470588235,0.20512820512820512,0.07692307692307693,0.0
+ temporal lags (full),q8,56,59,0.4915254237288136,0.5178571428571429,0.5043478260869566,0.7627118644067796,0.8035714285714286,0.782608695652174,0.8135593220338984,0.8571428571428571,0.8347826086956522,0.17857142857142858,0.21428571428571427,0.125
+ temporal lags (full),q80,56,58,0.6206896551724138,0.6428571428571429,0.6315789473684211,0.7931034482758621,0.8214285714285714,0.8070175438596492,0.8448275862068966,0.875,0.8596491228070176,0.26785714285714285,0.21428571428571427,0.0
+ temporal lags (full),q85,23,22,0.5,0.4782608695652174,0.4888888888888889,0.5909090909090909,0.5652173913043478,0.5777777777777778,0.7727272727272727,0.7391304347826086,0.7555555555555555,0.2608695652173913,0.2608695652173913,0.0
+ temporal lags (full),q86,51,44,0.6363636363636364,0.5490196078431373,0.5894736842105264,0.7954545454545454,0.6862745098039216,0.736842105263158,0.8863636363636364,0.7647058823529411,0.8210526315789474,0.1568627450980392,0.27450980392156865,0.0
+ temporal lags (full),q87,67,53,0.5849056603773585,0.4626865671641791,0.5166666666666667,0.7547169811320755,0.5970149253731343,0.6666666666666666,0.8867924528301887,0.7014925373134329,0.7833333333333334,0.16417910447761194,0.29850746268656714,0.0
+ temporal lags (full),q9,43,41,0.8536585365853658,0.813953488372093,0.8333333333333333,0.975609756097561,0.9302325581395349,0.9523809523809524,1.0,0.9534883720930233,0.9761904761904763,0.2558139534883721,0.3023255813953488,0.0
+ temporal lags (full),q96,20,18,0.8888888888888888,0.8,0.8421052631578948,0.8888888888888888,0.8,0.8421052631578948,0.9444444444444444,0.85,0.8947368421052632,0.05,0.1,0.0
