stem,confidence_threshold,profile_cosine_similarity,jensen_shannon_distance,dominant_pitch_class_match,symbolic_dominant_pitch_class,audio_dominant_pitch_class,symbolic_template_label,audio_template_label,descriptive_exact_label_agreement,descriptive_tonic_agreement,descriptive_mode_agreement,symbolic_pc_0,symbolic_pc_1,symbolic_pc_2,symbolic_pc_3,symbolic_pc_4,symbolic_pc_5,symbolic_pc_6,symbolic_pc_7,symbolic_pc_8,symbolic_pc_9,symbolic_pc_10,symbolic_pc_11,audio_pc_0,audio_pc_1,audio_pc_2,audio_pc_3,audio_pc_4,audio_pc_5,audio_pc_6,audio_pc_7,audio_pc_8,audio_pc_9,audio_pc_10,audio_pc_11
q1,0.3,0.9826337699555796,0.2080422591164711,False,0,2,F major,D minor,False,False,False,0.2690625268033279,0.0283900849129429,0.2549961403207822,0.0419418474997856,0.0967492923921433,0.2109100265889013,0.0,0.0112359550561797,0.0590102067072646,0.0277039197186723,0.0,0.0,0.2321522847254165,0.0493385959233407,0.2604048732889757,0.0316794846323668,0.1099263282608023,0.1729281850878608,0.0023517221368188,0.0175709760872481,0.0195487725928007,0.0516494037220992,0.0154553093510607,0.0369940641912091
q102,0.3,0.9821829040350336,0.1558878833707849,True,2,2,D major,D major,True,True,True,0.021456586941475,0.0992463277705145,0.3051988002768592,0.043259247865877,0.196993001615012,0.0146504652772436,0.0710605244943474,0.1212027993539952,0.0,0.0973236945320311,0.0,0.0296085518726447,0.0298420084255848,0.1017887870483689,0.2534518422845691,0.0906481749673758,0.1641384171547499,0.0438338494780533,0.074385824079726,0.1178501399949444,0.0158043902406094,0.0795319891050148,0.001359544202833,0.02736503301817
q14,0.3,0.9809596124455444,0.1531972730720951,True,7,7,C major,C major,True,True,True,0.2022964326408978,0.0426855990884387,0.1029888684371986,0.0582873170304147,0.1641686387939347,0.1016741169252343,0.0,0.2495398369708123,0.0209483740906302,0.0,0.0259444298360943,0.0314663861863439,0.1675128837089873,0.0620421930706917,0.1359278646274922,0.0469514841800857,0.1664131153134734,0.1060671226346287,0.0125503638323722,0.1919081037040596,0.0244566549095253,0.018956438133485,0.0291371565565072,0.0380766193286912
q16,0.3,0.9952455985212916,0.0996317738709688,True,9,9,A minor,A minor,True,True,True,0.2318286703201615,0.0,0.0,0.0,0.0,0.0,0.0202624747620421,0.0,0.0464378425151427,0.4069800980674936,0.0232189212575713,0.2712719930775885,0.2182416567272767,0.0,0.0,0.0,0.0,0.0,0.018203060541915,0.0078505999431089,0.0691110349047498,0.4101234810003737,0.0468930986479976,0.229577068234578
q18,0.3,0.9845358722506872,0.1558401084077987,True,1,1,C# major,C# major,True,True,True,0.1782107469512196,0.2998285060975611,0.0,0.1545826981707317,0.0162919207317072,0.2256573932926826,0.0,0.0,0.0334413109756097,0.0,0.062642911585366,0.0293445121951219,0.199408429009397,0.2991128181147829,0.0178350779872653,0.1311642592904005,0.0554432617130242,0.1691077199552021,0.0,0.0,0.0345354420033671,0.0033116859714809,0.0480756923771397,0.0420056135779399
q2,0.3,0.9522264730212286,0.2311179568744079,True,7,7,G major,G major,True,True,True,0.0,0.1856590300505802,0.0595656054745611,0.0,0.0360606962213627,0.1069919666765845,0.0648616483189526,0.3221065159178815,0.0,0.1005058018446891,0.0286224337994643,0.0956263016959236,0.0170118603069368,0.1174891413501306,0.1117933759606089,0.0179743077821717,0.0575334579056984,0.0872433710143035,0.1196993381577224,0.2456281343574081,0.0232101426537143,0.0942624247898358,0.0297474343275312,0.0784070113939378
q21,0.3,0.9682847591637148,0.1815945154562223,True,9,9,D major,D major,True,True,True,0.029772537811123,0.0143305148664205,0.2186495176848874,0.0277877019570481,0.1017029891627962,0.0114326545194712,0.1769679647493153,0.1496169266801635,0.0191338176332816,0.2298439919018694,0.0121471954269382,0.0086141876066849,0.0336973927810051,0.0297067157176442,0.1731230488708426,0.0985754781034194,0.0778061958673159,0.0324279787041114,0.1556037493057664,0.1361257863684444,0.0258470101287266,0.185029617492092,0.0409694226294587,0.0110876040311726
q22,0.3,0.986532679147321,0.1558468114844398,True,1,1,F# major,F# major,True,True,True,0.0255439924314096,0.2537919248023925,0.0295419171727653,0.1110568559831537,0.0034791100802636,0.1380657368694113,0.2220221564378794,0.0205084383678701,0.032532731101413,0.0,0.0408032471694083,0.1226538895840326,0.05955990212589,0.2319099922779241,0.0637256991225916,0.0890817282099361,0.0269188848031778,0.1100355525869835,0.2036152476730981,0.0224780588259133,0.0326865102883159,0.0087151413954569,0.0378908286272019,0.1133824540635103
q24,0.3,0.9080807534192946,0.2267800619645054,True,6,6,F# major,Eb minor,False,False,False,0.0234957516906537,0.1392405063291138,0.0329460724813595,0.1036934281255417,0.0634645396219871,0.0615571354256979,0.2610542743194037,0.020461245014739,0.0332061730535804,0.0559216230275706,0.1495578290272239,0.0554014218831282,0.1076389758287613,0.097220722429233,0.0788851865199335,0.127008699890657,0.0275192676707429,0.1091193501114219,0.1689945307966533,0.0092705833397988,0.0391017638234465,0.0573893344839009,0.1264227937350961,0.0514287913703542
q34,0.3,0.97101685089891,0.2113486768125801,True,9,9,A minor,A minor,True,True,True,0.1305363061162998,0.0440644772521844,0.0,0.0,0.048885206387466,0.03141006327207,0.046248870141609,0.0740433865622175,0.0711810786381439,0.4908858089786081,0.062744802651401,0.0,0.1074408820949187,0.0411287274295443,0.01100482849334,0.0083042381353792,0.0340826831765486,0.0720969033136644,0.0666663095576435,0.070635333391928,0.0816600733962394,0.3625808800344955,0.1203541050321959,0.0240450359441022
