stem,confidence_threshold,profile_cosine_similarity,jensen_shannon_distance,dominant_pitch_class_match,symbolic_dominant_pitch_class,audio_dominant_pitch_class,symbolic_template_label,audio_template_label,descriptive_exact_label_agreement,descriptive_tonic_agreement,descriptive_mode_agreement,symbolic_pc_0,symbolic_pc_1,symbolic_pc_2,symbolic_pc_3,symbolic_pc_4,symbolic_pc_5,symbolic_pc_6,symbolic_pc_7,symbolic_pc_8,symbolic_pc_9,symbolic_pc_10,symbolic_pc_11,audio_pc_0,audio_pc_1,audio_pc_2,audio_pc_3,audio_pc_4,audio_pc_5,audio_pc_6,audio_pc_7,audio_pc_8,audio_pc_9,audio_pc_10,audio_pc_11
q2,0.3,0.9522264730212286,0.23111795687440798,True,7,7,G major,G major,True,True,True,0.0,0.18565903005058024,0.059565605474561134,0.0,0.036060696221362785,0.10699196667658456,0.06486164831895269,0.3221065159178815,0.0,0.10050580184468912,0.02862243379946433,0.09562630169592369,0.01701186030693682,0.11748914135013068,0.11179337596060893,0.017974307782171735,0.057533457905698436,0.0872433710143035,0.11969933815772245,0.24562813435740816,0.023210142653714343,0.09426242478983582,0.02974743432753129,0.07840701139393784
q21,0.3,0.9682847591637149,0.18159451545622232,True,9,9,D major,D major,True,True,True,0.029772537811123052,0.014330514866420537,0.21864951768488747,0.027787701957048157,0.10170298916279624,0.01143265451947125,0.17696796474931537,0.1496169266801635,0.01913381763328163,0.22984399190186944,0.012147195426938229,0.008614187606684948,0.0336973927810051,0.029706715717644296,0.1731230488708426,0.09857547810341945,0.07780619586731599,0.03242797870411148,0.15560374930576645,0.13612578636844447,0.025847010128726648,0.18502961749209207,0.040969422629458796,0.011087604031172649
q22,0.3,0.986532679147321,0.15584681148443982,True,1,1,F# major,F# major,True,True,True,0.025543992431409666,0.25379192480239254,0.029541917172765306,0.11105685598315372,0.003479110080263676,0.13806573686941132,0.22202215643787945,0.02050843836787013,0.03253273110141308,0.0,0.04080324716940834,0.12265388958403269,0.05955990212589003,0.2319099922779241,0.06372569912259163,0.08908172820993615,0.026918884803177875,0.11003555258698353,0.2036152476730981,0.022478058825913375,0.03268651028831596,0.008715141395456951,0.03789082862720191,0.11338245406351039
q24,0.3,0.9080807534192946,0.22678006196450545,True,6,6,F# major,Eb minor,False,False,False,0.023495751690653773,0.13924050632911386,0.03294607248135951,0.10369342812554179,0.06346453962198714,0.06155713542569791,0.2610542743194037,0.020461245014739074,0.033206173053580465,0.055921623027570665,0.1495578290272239,0.05540142188312826,0.10763897582876135,0.09722072242923309,0.07888518651993351,0.12700869989065708,0.02751926767074293,0.10911935011142197,0.16899453079665336,0.009270583339798865,0.03910176382344652,0.057389334483900926,0.12642279373509616,0.051428791370354256
q34,0.3,0.9710168508989101,0.21134867681258016,True,9,9,A minor,A minor,True,True,True,0.13053630611629982,0.044064477252184445,0.0,0.0,0.048885206387466025,0.031410063272070014,0.046248870141609034,0.07404338656221755,0.07118107863814399,0.4908858089786081,0.06274480265140106,0.0,0.1074408820949187,0.04112872742954437,0.011004828493340005,0.008304238135379227,0.03408268317654864,0.0720969033136644,0.0666663095576435,0.07063533339192804,0.08166007339623943,0.3625808800344955,0.12035410503219594,0.024045035944102244
q56,0.3,0.9700559825998019,0.15181925254423817,True,3,3,Bb minor,Eb major,False,False,False,0.011901870293903343,0.11124605295117805,0.053356003562464616,0.16565460286616465,0.1128653550319811,0.12112379564407769,0.062019269694761466,0.017326532264593988,0.11691361023398919,0.06541980406444836,0.14492753623188398,0.01724556716055373,0.019519340900571176,0.0762485758530416,0.08548486296103461,0.1607454471912094,0.1043811449355771,0.10545006200167203,0.07659142665787474,0.0638491645693058,0.1247861126006597,0.029450701305811386,0.1286589968152198,0.024834164208022664
q58,0.3,0.9430454407437696,0.1986940328662224,False,3,2,Ab major,Ab major,True,True,True,0.03574747537327309,0.2121925531255808,0.14001610804782885,0.22749519856266623,0.0,0.01951551948454244,0.02750758936868849,0.06220184623009723,0.17656898581252717,0.0,0.051669661111455115,0.047085062883340634,0.06451464140422612,0.17744605610291989,0.22836595151838573,0.15783145963495865,0.0156092447581153,0.012936412474893745,0.032485833741410466,0.04307763538937352,0.14418321628395192,0.01876128025277964,0.03488882476197689,0.06989944367700815
q59,0.3,0.9840049628818184,0.21079281943683975,True,11,11,B minor,B minor,True,True,True,0.17100371747211895,0.09107806691449806,0.11988847583643134,0.0,0.08392193308550186,0.0,0.0,0.08039033457249065,0.0,0.05901486988847596,0.05167286245353158,0.3430297397769516,0.15938141826888635,0.07233727480301667,0.10701915362590365,0.016504482630362742,0.05069549846149432,0.017079090474567297,0.028884788777219502,0.03887199241601213,0.0017538876034794526,0.08572260645639126,0.06995217806998408,0.35179762841268253
q61,0.3,0.9074168586532017,0.27472457157931146,False,5,9,F major,A minor,False,False,False,0.13603732950466618,0.0907214644651831,0.0,0.12948671931083983,0.06137832017229006,0.20306891600861451,0.08452979181622401,0.0,0.04217516152189518,0.1739949748743719,0.017946877243359596,0.06066044508255563,0.11975661878264472,0.05701725569565221,0.07771121498696834,0.10266508639132245,0.13791883722443363,0.1228489343415431,0.06440117503204483,0.012687126112015943,0.040904510797619864,0.13919281579533097,0.04636216890086286,0.07853425593956107
q62,0.3,0.9851283880310119,0.19696021788189616,True,5,5,F minor,F minor,True,True,True,0.07410206034960448,0.0982822024079392,0.0,0.11233690997934599,0.019595990126441986,0.30940506775477306,0.12588786459120474,0.04342350511309251,0.13142914714623943,0.0,0.08553725253135848,0.0,0.04438714498595984,0.0961796479261971,0.019746687332041307,0.11407300303622095,0.025540822737292346,0.2597947412304026,0.12375516880630118,0.07027771669325181,0.13916011533025802,0.020996896995455004,0.0651753521856876,0.020912702740932248
q63,0.3,0.9729195879663105,0.12085917652500115,True,6,6,F# minor,F# minor,True,True,True,0.04185121576425917,0.06842628581759029,0.06074301726475645,0.06869746000180782,0.11326041760824367,0.03480068697460001,0.27017987887553097,0.1337792642140467,0.1418240983458376,0.02304980565850138,0.024857633553285678,0.018530235921540274,0.048282959879724675,0.05914728254783307,0.04878672985417806,0.06730039387232788,0.13528697950358312,0.08602114946616095,0.2044301251642433,0.12151651279912706,0.14320037379717449,0.030566276175193183,0.0251297986586935,0.030331418281760676
