stem,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_P,COnP_R,COnP_F,COn_P,COn_R,COn_F,Split,Merged,Spurious
q102,62,55,0.7090909090909091,0.6290322580645161,0.6666666666666666,0.8181818181818182,0.7258064516129032,0.7692307692307693,0.9454545454545454,0.8387096774193549,0.8888888888888888,0.3387096774193548,0.41935483870967744,0.0
q14,27,25,0.8,0.7407407407407407,0.7692307692307692,1.0,0.9259259259259259,0.9615384615384615,1.0,0.9259259259259259,0.9615384615384615,0.2222222222222222,0.2962962962962963,0.0
q16,29,25,0.88,0.7586206896551724,0.8148148148148148,0.96,0.8275862068965517,0.888888888888889,1.0,0.8620689655172413,0.9259259259259259,0.3448275862068966,0.41379310344827586,0.0
q18,36,38,0.6578947368421053,0.6944444444444444,0.6756756756756757,0.7368421052631579,0.7777777777777778,0.7567567567567567,0.7631578947368421,0.8055555555555556,0.7837837837837838,0.3888888888888889,0.3611111111111111,0.0
q2,35,25,0.6,0.42857142857142855,0.5,0.84,0.6,0.7000000000000001,0.96,0.6857142857142857,0.7999999999999999,0.02857142857142857,0.22857142857142856,0.0
q21,78,84,0.5357142857142857,0.5769230769230769,0.5555555555555555,0.7142857142857143,0.7692307692307693,0.7407407407407408,0.8214285714285714,0.8846153846153846,0.8518518518518519,0.3974358974358974,0.3333333333333333,0.01282051282051282
q22,85,84,0.5476190476190477,0.5411764705882353,0.544378698224852,0.7380952380952381,0.7294117647058823,0.7337278106508874,0.8571428571428571,0.8470588235294118,0.8520710059171598,0.3176470588235294,0.3058823529411765,0.011764705882352941
q24,49,44,0.4090909090909091,0.3673469387755102,0.3870967741935484,0.75,0.673469387755102,0.7096774193548386,0.8636363636363636,0.7755102040816326,0.8172043010752688,0.1836734693877551,0.24489795918367346,0.04081632653061224
q34,35,34,0.5882352941176471,0.5714285714285714,0.5797101449275363,0.7647058823529411,0.7428571428571429,0.7536231884057971,0.8529411764705882,0.8285714285714286,0.8405797101449276,0.2,0.2,0.0
q56,52,53,0.7924528301886793,0.8076923076923077,0.7999999999999999,0.8679245283018868,0.8846153846153846,0.8761904761904762,0.9245283018867925,0.9423076923076923,0.9333333333333333,0.23076923076923078,0.25,0.019230769230769232
q58,37,53,0.5094339622641509,0.7297297297297297,0.6,0.6226415094339622,0.8918918918918919,0.7333333333333333,0.6415094339622641,0.918918918918919,0.7555555555555555,0.1891891891891892,0.10810810810810811,0.35135135135135137
q59,29,28,0.6785714285714286,0.6551724137931034,0.6666666666666666,1.0,0.9655172413793104,0.9824561403508771,1.0,0.9655172413793104,0.9824561403508771,0.10344827586206896,0.13793103448275862,0.0
q61,29,29,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.1724137931034483,0.20689655172413793,0.06896551724137931
q62,32,34,0.6764705882352942,0.71875,0.696969696969697,0.8823529411764706,0.9375,0.9090909090909091,0.8823529411764706,0.9375,0.9090909090909091,0.1875,0.15625,0.0
q63,34,36,0.6111111111111112,0.6470588235294118,0.6285714285714287,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.11764705882352941,0.11764705882352941,0.058823529411764705
q73,39,46,0.5652173913043478,0.6666666666666666,0.6117647058823529,0.717391304347826,0.8461538461538461,0.776470588235294,0.782608695652174,0.9230769230769231,0.8470588235294118,0.2564102564102564,0.10256410256410256,0.0
q8,56,60,0.43333333333333335,0.4642857142857143,0.4482758620689655,0.7,0.75,0.7241379310344827,0.7833333333333333,0.8392857142857143,0.8103448275862069,0.23214285714285715,0.23214285714285715,0.125
q80,56,57,0.5614035087719298,0.5714285714285714,0.5663716814159292,0.7894736842105263,0.8035714285714286,0.7964601769911505,0.8771929824561403,0.8928571428571429,0.8849557522123894,0.23214285714285715,0.19642857142857142,0.0
q85,23,21,0.5238095238095238,0.4782608695652174,0.5,0.5714285714285714,0.5217391304347826,0.5454545454545454,0.7619047619047619,0.6956521739130435,0.7272727272727272,0.17391304347826086,0.21739130434782608,0.0
q86,51,46,0.6739130434782609,0.6078431372549019,0.6391752577319587,0.8695652173913043,0.7843137254901961,0.8247422680412372,0.9130434782608695,0.8235294117647058,0.865979381443299,0.19607843137254902,0.23529411764705882,0.0
q87,67,58,0.5862068965517241,0.5074626865671642,0.544,0.7068965517241379,0.6119402985074627,0.6559999999999999,0.8793103448275862,0.7611940298507462,0.8160000000000001,0.22388059701492538,0.3283582089552239,0.0
q9,43,40,0.85,0.7906976744186046,0.8192771084337349,0.95,0.8837209302325582,0.9156626506024096,1.0,0.9302325581395349,0.963855421686747,0.2558139534883721,0.3023255813953488,0.0
q96,20,18,0.9444444444444444,0.85,0.8947368421052632,0.9444444444444444,0.85,0.8947368421052632,1.0,0.9,0.9473684210526316,0.0,0.05,0.0
