stem,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_P,COnP_R,COnP_F,COn_P,COn_R,COn_F,Split,Merged,Spurious
F01_0126_0001_2,28,29,0.034482758620689655,0.03571428571428571,0.03508771929824562,0.06896551724137931,0.07142857142857142,0.07017543859649124,0.3103448275862069,0.32142857142857145,0.31578947368421056,0.5714285714285714,0.5714285714285714,0.03571428571428571
F01_0126_0002_1_D,28,28,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.6428571428571429,0.6071428571428571,0.0
F01_0126_0002_2_D,28,30,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.25,0.2413793103448276,0.8214285714285714,0.7857142857142857,0.07142857142857142
F01_0126_0003_1_D,26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.7307692307692307,0.7307692307692307,0.0
F01_0126_0003_2_D,26,27,0.0,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.15384615384615385,0.1509433962264151,0.7307692307692307,0.6923076923076923,0.0
F01_0143_0001_1,34,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7941176470588235,0.7941176470588235,0.0
F01_0143_0001_2,34,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7941176470588235,0.8235294117647058,0.0
F01_0143_0002_1,23,22,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.043478260869565216,0.04444444444444444,0.8260869565217391,0.8695652173913043,0.0
F01_0143_0002_2,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9130434782608695,0.9130434782608695,0.0
F01_0149_0001_1,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.8125,0.0
F01_0149_0001_2,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.8125,0.0
