stem,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_P,COnP_R,COnP_F,COn_P,COn_R,COn_F,Split,Merged,Spurious,audio_duration_seconds,split_approx_count,split_per_5_seconds,split_per_100_ref_notes,merged_approx_count,merged_per_5_seconds,merged_per_100_ref_notes,spurious_approx_count,spurious_per_5_seconds,spurious_per_100_ref_notes
q21,78,84,0.5357142857142857,0.5769230769230769,0.5555555555555555,0.7142857142857143,0.7692307692307693,0.7407407407407408,0.8214285714285714,0.8846153846153846,0.8518518518518519,0.3974358974358974,0.3333333333333333,0.0128205128205128,32.18750566893424,30.999999999999996,4.815533132460096,39.743589743589745,26.0,4.038834240127822,33.33333333333333,0.9999999999999983,0.15533977846645444,1.28205128205128
q22,85,84,0.5476190476190477,0.5411764705882353,0.544378698224852,0.7380952380952381,0.7294117647058823,0.7337278106508874,0.8571428571428571,0.8470588235294118,0.8520710059171598,0.3176470588235294,0.3058823529411765,0.0117647058823529,44.28124716553288,27.0,3.0486946199898295,31.76470588235294,26.000000000000004,2.9357800044346516,30.58823529411765,0.9999999999999964,0.11291461555517848,1.17647058823529
q24,49,44,0.4090909090909091,0.3673469387755102,0.3870967741935484,0.75,0.673469387755102,0.7096774193548386,0.8636363636363636,0.7755102040816326,0.8172043010752688,0.1836734693877551,0.2448979591836734,0.0408163265306122,20.06249433106576,9.0,2.242991287993526,18.367346938775512,11.999999999999996,2.9906550506580336,24.489795918367342,1.9999999999999978,0.4984425084430052,4.08163265306122
q34,35,34,0.5882352941176471,0.5714285714285714,0.5797101449275363,0.7647058823529411,0.7428571428571429,0.7536231884057971,0.8529411764705882,0.8285714285714286,0.8405797101449276,0.2,0.2,0.0,18.56249433106576,7.0,1.885522461355035,20.0,7.0,1.885522461355035,20.0,0.0,0.0,0.0
q56,52,53,0.7924528301886793,0.8076923076923077,0.7999999999999999,0.8679245283018868,0.8846153846153846,0.8761904761904762,0.9245283018867924,0.9423076923076924,0.9333333333333332,0.2307692307692307,0.25,0.0192307692307692,17.75,11.999999999999996,3.380281690140844,23.07692307692307,13.0,3.6619718309859155,25.0,0.9999999999999984,0.28169014084507,1.92307692307692
q58,37,53,0.5094339622641509,0.7297297297297297,0.6,0.6226415094339622,0.8918918918918919,0.7333333333333333,0.6415094339622641,0.918918918918919,0.7555555555555555,0.1891891891891892,0.1081081081081081,0.3513513513513513,29.374988662131518,7.0,1.1914898215814431,18.91891891891892,3.9999999999999996,0.6808513266179674,10.81081081081081,12.999999999999998,2.212766811508394,35.13513513513513
q59,29,28,0.6785714285714286,0.6551724137931034,0.6666666666666666,1.0,0.9655172413793104,0.9824561403508772,1.0,0.9655172413793104,0.9824561403508772,0.1034482758620689,0.1379310344827586,0.0,16.81249433106576,2.999999999999998,0.8921936093850937,10.34482758620689,3.999999999999999,1.1895914791801256,13.79310344827586,0.0,0.0,0.0
q61,29,29,0.5862068965517241,0.5862068965517241,0.5862068965517241,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.1724137931034483,0.2068965517241379,0.0689655172413793,14.968730158730159,5.0,1.6701483515900872,17.24137931034483,5.999999999999999,2.0041780219081047,20.68965517241379,1.9999999999999996,0.6680593406360348,6.89655172413793
q62,32,34,0.6764705882352942,0.71875,0.696969696969697,0.8823529411764706,0.9375,0.9090909090909092,0.8823529411764706,0.9375,0.9090909090909092,0.1875,0.15625,0.0,27.374988662131518,6.0,1.0958908648426118,18.75,5.0,0.9132423873688431,15.625,0.0,0.0,0.0
q63,34,36,0.6111111111111112,0.6470588235294118,0.6285714285714287,0.8888888888888888,0.9411764705882352,0.9142857142857144,0.8888888888888888,0.9411764705882352,0.9142857142857144,0.1176470588235294,0.1176470588235294,0.0588235294117647,17.875011337868482,3.9999999999999996,1.1188804091905493,11.76470588235294,3.9999999999999996,1.1188804091905493,11.76470588235294,1.9999999999999998,0.5594402045952747,5.88235294117647
q73,39,46,0.5652173913043478,0.6666666666666666,0.6117647058823529,0.717391304347826,0.8461538461538461,0.776470588235294,0.782608695652174,0.9230769230769232,0.8470588235294118,0.2564102564102564,0.1025641025641025,0.0,20.75,10.0,2.4096385542168672,25.64102564102564,3.999999999999998,0.9638554216867465,10.25641025641025,0.0,0.0,0.0
q8,56,60,0.4333333333333333,0.4642857142857143,0.4482758620689655,0.7,0.75,0.7241379310344827,0.7833333333333333,0.8392857142857143,0.8103448275862069,0.2321428571428571,0.2321428571428571,0.125,26.1562358276644,12.999999999999996,2.4850670573650393,23.214285714285708,12.999999999999996,2.4850670573650393,23.214285714285708,7.0,1.3381130308888678,12.5
q80,56,57,0.5614035087719298,0.5714285714285714,0.5663716814159292,0.7894736842105263,0.8035714285714286,0.7964601769911505,0.8771929824561403,0.8928571428571429,0.8849557522123894,0.2321428571428571,0.1964285714285714,0.0,42.001995464852605,12.999999999999996,1.5475455220786396,23.214285714285708,10.999999999999998,1.3094615956050029,19.64285714285714,0.0,0.0,0.0
q85,23,21,0.5238095238095238,0.4782608695652174,0.5,0.5714285714285714,0.5217391304347826,0.5454545454545454,0.7619047619047619,0.6956521739130435,0.7272727272727272,0.1739130434782608,0.217391304347826,0.0,24.618956916099773,3.9999999999999987,0.8123821032775286,17.391304347826082,4.999999999999998,1.0154776290969107,21.7391304347826,0.0,0.0,0.0
