stem,error_type,event_time,reference_index,estimate_index,distance_to_phrase_boundary_seconds,near_phrase_boundary
child2,merged,53.832,109,104,0.22999999999999687,False
child2,spurious,49.72,-1,98,0.1840000000000046,False
child3,split,0.71,0,1,0.18499999999999994,False
child3,split,1.14,2,2,0.6149999999999999,False
child3,split,12.27,24,23,0.33000000000000007,False
child3,split,24.08,48,46,1.2659999999999982,False
child3,split,28.07,57,54,1.5100000000000016,False
child3,merged,0.835,1,1,0.30999999999999994,False
child3,merged,1.145,2,1,0.62,False
child3,merged,9.446,18,17,1.2669999999999995,False
child3,merged,12.231,24,22,0.29100000000000037,False
child3,merged,19.905,40,38,0.5869999999999997,False
child3,merged,24.078,48,45,1.2639999999999993,False
child3,merged,26.862,54,51,0.3019999999999996,False
child3,merged,28.07,57,53,1.5100000000000016,False
child4,split,11.89,26,24,0.19699999999999918,False
child4,merged,2.827,4,4,1.267,False
child4,merged,5.536,10,9,0.6559999999999997,False
child4,merged,8.698,18,16,0.5210000000000008,False
child4,merged,11.865,26,23,0.22199999999999953,False
child4,spurious,0.16,-1,0,1.4000000000000001,False
child5,split,0.43,0,1,0.313,False
child5,split,2.71,6,6,1.0670000000000002,False
child5,split,10.42,21,22,0.9540000000000006,False
child5,split,13.4,28,28,1.4190000000000005,False
child5,split,23.73,48,49,0.8979999999999997,False
child5,merged,0.441,1,1,0.324,False
child5,merged,2.698,6,5,1.0790000000000002,False
child5,merged,10.509,22,22,0.8650000000000002,False
child5,merged,13.255,28,27,1.4570000000000007,False
child5,merged,23.738,49,49,0.9059999999999988,False
child6,split,8.5,17,17,0.6779999999999999,False
child6,split,9.43,18,19,1.6079999999999997,False
child6,split,11.99,23,23,0.3179999999999996,False
child6,split,16.6,30,30,0.2940000000000005,False
child6,split,19.17,37,36,0.7459999999999987,False
child6,split,22.33,42,42,1.4100000000000001,False
child6,split,22.55,43,43,1.1899999999999977,False
child6,split,26.81,47,50,1.6020000000000003,False
child6,split,27.06,48,51,1.8520000000000003,False
child6,merged,8.497,17,16,0.6749999999999998,False
child6,merged,9.453,19,19,1.6309999999999993,False
child6,merged,10.427,21,20,0.8369999999999997,False
child6,merged,12.018,24,23,0.3460000000000001,False
child6,merged,16.619,31,30,0.31299999999999883,False
child6,merged,19.087,37,35,0.8290000000000006,False
child6,merged,22.531,43,42,1.2089999999999996,False
child6,merged,26.835,48,50,1.6270000000000024,False
child6,merged,27.096,49,51,1.8880000000000017,False
child6,spurious,24.77,-1,45,0.43799999999999883,False
child6,spurious,25.01,-1,46,0.19799999999999685,False
child6,spurious,32.85,-1,62,0.25500000000000256,False
child7,split,1.97,2,2,0.7449999999999999,False
child7,split,5.99,8,9,0.37900000000000045,False
child7,split,6.32,9,10,0.7090000000000005,False
child7,split,7.4,12,11,1.7890000000000006,False
child7,split,12.71,20,20,0.9849999999999994,False
child7,split,18.88,31,30,0.3260000000000005,False
child7,split,28.48,48,47,1.3689999999999998,False
child7,split,34.42,59,58,1.1219999999999999,False
child7,merged,1.959,2,1,0.734,False
child7,merged,6.016,9,9,0.40500000000000025,False
child7,merged,6.403,10,10,0.7919999999999998,False
child7,merged,7.008,11,10,1.3970000000000002,False
child7,merged,7.402,12,10,1.7910000000000004,False
child7,merged,12.727,21,20,0.968,False
child7,merged,18.883,31,29,0.3290000000000006,False
child7,merged,28.465,48,46,1.3539999999999992,False
child7,merged,34.353,59,57,1.189,False
child8,split,5.68,7,9,1.0790000000000006,False
child8,split,7.86,9,11,0.532,False
child8,split,12.02,18,19,0.6689999999999987,False
child8,split,17.56,30,30,1.0650000000000013,False
child8,split,25.53,47,45,0.347999999999999,False
child8,split,26.87,49,47,0.37700000000000244,False
child8,split,31.05,59,57,1.0059999999999967,False
child8,split,31.69,60,59,0.3659999999999961,False
child8,split,39.1,78,74,0.35300000000000153,False
child8,split,39.71,79,76,0.963000000000001,False
child8,merged,5.67,7,8,1.0890000000000004,False
child8,merged,7.845,9,10,0.5169999999999995,False
child8,merged,11.898,17,18,0.5469999999999988,False
child8,merged,12.021,18,18,0.6699999999999999,False
